13 78
0 1 2432.4869811658014
0 2 7988.693761198901
0 3 8926.240681728943
0 4 795.3580032672336
0 5 4589.763801222112
0 6 5622.583737927253
0 7 4437.004860261156
0 8 5203.997486761692
0 9 6517.919774496133
0 10 3542.415026399199
0 11 1731.142121032494
0 12 3070.5281214604165
1 2 1232.8580706351843
1 3 9111.925365432699
1 4 4121.261989609933
1 5 7943.757195212955
1 6 2984.0989589627466
1 7 1912.1132778477402
1 8 7524.761254996712
1 9 7383.449966491028
1 10 8620.477191433623
1 11 9635.736589420167
1 12 2768.6731923292964
2 3 559.5991026025249
2 4 6248.271768865493
2 5 2223.6633747740643
2 6 3732.0014584678242
2 7 4125.583216707299
2 8 96.81871366559291
2 9 2050.823148166526
2 10 6932.3601798692835
2 11 9692.075176413206
2 12 7625.755527081471
3 4 3691.1161212694064
3 5 3353.6227260736528
3 6 5616.094127305046
3 7 4332.373263026259
3 8 9123.721827710282
3 9 5098.401435530773
3 10 3500.381116995779
3 11 1844.614612252602
3 12 866.3103279511264
4 5 3142.201903049345
4 6 6260.552185905261
4 7 2945.5292029982606
4 8 2427.0616373743683
4 9 6510.852902094702
4 10 579.9693556429919
4 11 9802.193506044245
4 12 8024.264063091699
5 6 8574.732530910895
5 7 7738.486860425877
5 8 1344.3653211072947
5 9 6725.040529174222
5 10 7347.849001189541
5 11 9059.995604130158
5 12 1709.5236925689094
6 7 3035.18743901217
6 8 9427.68481022993
6 9 8067.886869291444
6 10 2555.976760016032
6 11 9298.875046234723
6 12 5726.132672969302
7 8 1106.324595887842
7 9 5161.857505377171
7 10 8786.63126282413
7 11 1793.5590786108635
7 12 4478.621219980463
8 9 1818.8442013993667
8 10 6512.352511540266
8 11 231.52885116636935
8 12 6177.748799662466
9 10 7875.164799383322
9 11 806.5417994309621
9 12 510.11243263105024
10 11 9787.005260581887
10 12 1631.223680229582
11 12 37.66758317994557
